Year,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60,Faceoffs %
2023,Colin Blackwell,CHI,C,40,584.66666666667,14.616666666667,0.82,0.41,0.41,0,1.23,70.59,8.62,9.52,0.85,15.7,11.7,6.98,3.08,0.72,1.44,1.03,0.51,0.51,0,0,1.44,1.23,2.05,4.1,3.9,1.95,2.87,3.8,4.42
2023,Colin Miller,"N.J, WPG",D,45,705.53333333333,15.678518518519,0.34,0.43,0.26,0.17,0.77,27.27,5.78,5.88,0.18,14.46,8.25,2.98,0.17,0,1.45,2.21,1.11,1.11,0,0,0.77,1.45,1.19,6.55,4.17,2.98,0,0,-
2023,Colin White,"MTL, PIT",C,27,258.31666666667,9.5672839506173,0,0,0,0,0,0.00,3.25,0.00,0.52,9.52,7.2,5.81,2.32,0.46,0.7,0.93,0.46,0.46,0,0,0.46,2.09,2.09,4.88,4.65,2.79,11.15,17.42,9.06
2023,Collin Graf,S.J,R,1,13.6,13.6,0,0,0,0,0,-,4.41,0.00,0.1,4.41,4.41,0,0,0,0,0,0,0,0,0,4.41,4.41,4.41,0,0,0,0,0,-
2023,Colton Parayko,STL,D,77,1829.35,23.757792207792,0.33,0.49,0.26,0.23,0.82,32.05,4.89,6.71,0.22,9.74,6.66,2.46,0.43,0.23,0.52,0.75,0.33,0.3,0.03,0,0.23,1.41,2.3,3.31,3.44,6.59,0,0,-
2023,Colton Sissons,NSH,C,77,1286.4166666667,16.70670995671,0.7,0.93,0.7,0.23,1.63,53.03,5.83,12.00,1.04,10.73,9,8.07,4.52,0.23,1.26,1.49,0.75,0.75,0,0,0.79,1.35,1.4,5.46,4.1,2.61,27.56,24.91,2.45
2023,Connor Bedard,CHI,C,62,1226.6833333333,19.785215053763,1.08,1.81,1.27,0.54,2.89,79.73,9.68,11.11,1.12,18.78,13.89,10.71,3.28,0.83,1.61,1.27,0.64,0.64,0,0,1.08,2.64,2.1,2.15,2.89,1.22,9.34,14.62,1.91
2023,Connor Brown,EDM,R,65,827.63333333333,12.732820512821,0.29,0.51,0.36,0.14,0.8,73.33,7.32,3.96,0.78,13.19,10,7.32,3.99,0.58,1.45,0.72,0.29,0.29,0,0,0.29,1.52,3.04,1.88,4.49,1.67,1.16,1.59,3.05
2023,Connor Clifton,BUF,D,75,1238.5333333333,16.513777777778,0.19,0.63,0.34,0.29,0.82,32.08,3.63,5.33,0.21,7.27,5.18,1.65,0.48,0.24,0.73,2.96,1.07,0.82,0.24,0,0.82,1.11,1.31,8.19,7.17,5.33,0,0,-
2023,Connor Dewar,"MIN, TOR",C,70,814.43333333333,11.634761904762,0.81,0.37,0.22,0.15,1.18,72.73,5.38,15.07,0.6,10.53,7.81,5.67,2.65,0.66,0.81,2.06,0.81,0.66,0.15,0,0.44,0.44,1.47,7.66,4.79,2.58,14.07,16.06,3.44
2023,Connor Mackey,NYR,D,1,16.45,16.45,0,0,0,0,0,0.00,3.65,0.00,0.04,7.29,3.65,0,0,0,0,18.24,3.65,0,3.65,0,3.65,7.29,0,3.65,10.94,10.94,0,0,-
2023,Connor McDavid,EDM,C,74,1589.3833333333,21.478153153153,1.17,3.74,2.3,1.43,4.91,79.75,9.74,12.02,1.24,16.87,13.17,10.46,4.27,0.42,1.7,1.13,0.57,0.57,0,0,1.55,3.06,2.49,3.85,4.42,1.43,16.38,15.55,1.94
2023,Connor McMichael,WSH,C,74,1181.7333333333,15.969369369369,0.86,0.76,0.51,0.25,1.62,69.57,6.45,13.39,0.94,11.88,9.49,7.67,4.06,0.3,0.96,1.62,0.81,0.81,0,0,0.71,1.27,1.73,1.73,2.54,1.88,17.36,23.51,2.16
2023,Connor Murphy,CHI,D,43,853.75,19.854651162791,0.14,0.42,0.14,0.28,0.56,36.36,3.37,4.17,0.1,7.31,4.57,1.55,0.21,0.35,0.56,2.81,1.19,1.05,0.14,0,1.12,1.76,0.84,6.54,4.43,7.38,0,0,-
2023,Connor Zary,CGY,C,57,873.01666666667,15.316081871345,0.82,1.24,0.69,0.55,2.06,58.82,5.5,15.00,0.66,10.65,7.56,6.19,3.37,0.27,0.89,1.51,0.76,0.76,0,0,1.03,1.79,0.96,1.58,3.57,1.65,0.96,2.06,2.19
2023,Conor Garland,VAN,R,77,1106.9166666667,14.375541125541,0.87,1.3,0.92,0.38,2.17,66.67,9.76,8.89,0.99,18.1,13.71,9.38,4.17,0.54,1.57,1.25,0.54,0.49,0.05,0,1.19,0.38,2.6,2.28,5.69,1.68,0.11,0.43,1.08
2023,Conor Sheary,T.B,L,53,579.73333333333,10.938364779874,0.31,1.03,0.72,0.31,1.35,68.42,4.55,6.82,0.48,8.59,6.11,4.55,2.28,0.21,0.41,1.24,0.62,0.62,0,0,0.41,0.52,1.55,1.76,5.38,3.52,0.1,0.21,3.45
2023,Conor Timmins,TOR,D,23,366.38333333333,15.929710144928,0.16,1.31,0.82,0.49,1.47,37.50,3.77,4.35,0.2,9.99,5.9,2.62,0.33,0,1.15,2.29,1.15,1.15,0,0,0.33,2.95,1.8,4.91,6.06,4.26,0,0,-
2023,Corey Perry,"CHI, EDM",R,48,637.63333333333,13.284027777778,1.04,0.75,0.47,0.28,1.79,57.58,7.06,14.67,1,12.04,10.07,8.56,5.36,0.38,1.79,4.33,1.6,1.22,0.38,0,1.32,1.69,1.32,3.48,5.93,1.32,0,0.09,0.00
