Year,Player,Team,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
2020,Stefan Noesen,"S.J, TOR",R,6,57.65,9.6083333333333,42.67,46.83,47.67,27.06,36.43,42.62,22.9,24.98,47.83,0,0,-,1.58,2.13,42.60,19.77,22.9,46.34,9.37,10.41,47.37,0,0,-,13.88,16.65,45.45,0,0,-,27.06,33.07,45.00,0,0,-,0.00,100.00,1.000,6.24,16.65,5.2,61.41,54.55,11.45,23.94,16.65,40.74
2020,Steven Fogarty,BUF,C,9,105.56666666667,11.72962962963,28.42,56.27,33.56,22.73,43.76,34.19,17.62,34.1,34.07,2.84,2.84,50.00,1.83,2.21,45.35,13.07,17.05,43.40,7.96,10.23,43.75,1.71,1.71,50.00,6.82,9.09,42.86,0.76,0,100.00,18.88,49.26,27.71,0,1.64,0.00,16.13,91.67,1.078,5.12,11.94,15.91,50.58,24.32,9.09,14.21,23.87,27.59
2020,Steven Kampfer,BOS,D,20,334.3,16.715,53.84,57.07,48.54,43.61,43.25,50.21,33.74,31.05,52.08,2.87,2.33,55.17,2.25,2.46,47.83,22.97,24.95,47.94,6.82,11.13,38.00,1.44,0.9,61.54,21.54,18.43,53.89,1.44,0.72,66.67,38.11,42,47.57,0.52,1.3,28.57,8.51,92.49,1.010,8.62,9.51,7.9,54.02,52.17,22.61,15.44,17.95,55.75
2020,Steven Lorentz,CAR,C,45,469.75,10.438888888889,55.94,49.69,52.96,42.02,38.19,52.39,27.72,25.67,51.91,1.79,1.79,50.00,2.42,2.11,53.46,23.63,21.08,52.86,11.5,9.71,54.22,1.41,1.15,55.00,16.18,15.16,51.63,0,0.17,0.00,40.04,34.32,53.85,0.37,0.74,33.33,6.45,93.03,0.995,13.54,15.58,7.15,47,65.43,22.99,20.69,14.82,60.81
2020,Steven Santini,STL,D,3,42.016666666667,14.005555555556,48.55,54.26,47.22,37.13,39.98,48.15,27.13,32.84,45.24,4.28,2.86,60.00,1.37,2.32,37.13,15.71,22.85,40.74,4.28,8.57,33.33,0,1.43,0.00,15.23,19.04,44.44,3.81,0,100.00,35.07,39.19,47.22,2.06,2.06,50.00,15.79,91.30,1.071,7.14,11.42,7.14,52.84,50.00,10,15.71,18.56,35.00
2020,Steven Stamkos,T.B,C,38,694.16666666667,18.267543859649,64.05,46.24,58.07,48.58,37.08,56.71,35.52,28.96,55.09,4.32,2.33,64.94,3.31,2.54,56.58,31.12,24.55,55.90,10.8,9.68,52.74,2.25,1.12,66.67,27.08,19.82,57.74,1.5,1.04,59.09,42.07,26.59,61.27,1.37,0.37,78.57,12.17,91.94,1.041,18.32,8.99,11.41,32.76,61.63,31.03,13.05,17.72,63.65
2020,T.J. Oshie,WSH,R,53,957.38333333333,18.063836477987,61.23,45,57.64,46.19,34.34,57.35,32.46,25.38,56.12,4.45,3.01,59.66,3.25,2.2,59.66,28.08,20.74,57.51,10.15,7.46,57.65,2.01,1.44,58.18,23.9,17.71,57.43,1.67,1.09,60.61,42.64,28.79,59.70,1.36,0.81,62.50,13.71,88.15,1.019,17.42,12.53,4.95,36.16,77.87,28.64,18.49,11.72,70.96
2020,TJ Brodie,TOR,D,56,1207.2166666667,21.55744047619,51.39,53.18,49.14,40.21,39.96,50.15,28.48,27.98,50.44,3.18,2.29,58.18,2.81,2.5,52.92,30.27,26.64,53.19,12.18,10.04,54.81,1.79,1.44,55.38,24.12,22.13,52.15,1.46,0.8,64.71,26.85,34.17,44.00,0.36,0.29,55.56,11.17,91.83,1.030,9.19,11.83,9.49,42.15,49.20,17.79,18.19,17.4,50.56
2020,Tage Thompson,BUF,R,38,527.16666666667,13.872807017544,49.51,53.95,47.85,38.58,45.87,45.69,29.59,34.03,46.51,2.16,2.62,45.24,2.59,2.64,49.52,23.56,24.81,48.71,11.5,9.9,53.72,1.59,0.91,63.64,16.09,19.88,44.73,0.46,1.52,23.08,32.06,38.14,45.67,0.33,0.66,33.33,7.31,92.31,0.996,11.38,15.93,7.51,44.73,60.24,17.76,19.12,16.39,52.00
2020,Tanner Jeannot,NSH,L,14,172.63333333333,12.330952380952,50.05,46.92,51.61,40.32,35.45,53.21,27.11,25.37,51.66,3.48,1.39,71.43,2.5,1.76,58.62,23.63,22.59,51.13,12.51,7.99,61.02,2.09,1.04,66.67,14.83,19.46,43.24,1.39,0.46,75.00,32.63,28.62,53.28,0.5,0,100.00,12.82,94.52,1.073,1.04,18.07,10.43,51.44,9.09,2.78,23.29,20.51,11.94
