PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS
Samuel Morin,-,20,"LD, LW",Left,PHI,Entry-Level,18,,3,RFA,2018,"$863,333","$1,363,333","$832,500","$832,500",$0,"$500,000"
Travis Sanheim,PHI,20,LD/RD,Left,PHI,Entry-Level,18,,3,RFA,2019,"$863,333","$1,263,333","$925,000","$832,500","$92,500","$400,000"
Jakub Vrána,STL,20,LW,Left,WSH,Entry-Level,18,,3,RFA,2019,"$863,333","$1,363,333","$925,000","$832,500","$92,500","$400,000"
Michael McCarron,NSH,21,"RW, C",Right,MTL,Entry-Level,18,,3,RFA,2018,"$863,333","$1,075,833","$832,500","$832,500",$0,"$212,500"
Nikita Scherbak,-,20,"LW, RW",Left,MTL,Entry-Level,18,,3,UFANo QO,2019,"$863,333","$1,063,333","$925,000","$832,500","$92,500",$0
Anthony Deangelo,CAR,20,RD,Right,TBL,Entry-Level,18,,3,RFA,2019,"$863,333","$1,263,333","$925,000","$832,500","$92,500","$400,000"
Ryan Hartman,MIN,21,"C, RW",Right,CHI,Entry-Level,18,,3,RFA,2018,"$863,333","$863,333","$832,500","$832,500",$0,$0
Kasperi Kapanen,STL,19,RW,Right,PIT,Entry-Level,18,,3,RFA,2019,"$863,333","$863,333","$925,000","$832,500","$92,500",$0
Joshua Ho-Sang,-,20,"RW, C",Right,NYI,Entry-Level,18,,3,RFA,2019,"$863,333","$1,075,833","$925,000","$832,500","$92,500","$212,500"
Malcolm Subban,CBJ,22,G,Left,BOS,Entry-Level,18,,3,RFA,2017,"$863,333","$1,463,333","$832,500","$832,500",$0,"$850,000"
Ryan Pulock,NYI,21,RD,Right,NYI,Entry-Level,18,,3,RFA,2018,"$863,333","$1,363,333","$832,500","$832,500",$0,"$500,000"
Griffin Reinhart,-,22,LD,Left,NYI,Entry-Level,18,,3,RFA,2017,"$863,333","$3,213,333","$832,500","$832,500",$0,"$2,350,000"
Brendan Gaunce,CBJ,22,"LW, C",Left,VAN,Entry-Level,18,,3,RFA,2017,"$863,333","$1,025,833","$832,500","$832,500",$0,"$162,500"
Scott Laughton,PHI,22,"C, LW",Left,PHI,Entry-Level,18,,3,RFA,2017,"$863,333","$1,075,833","$832,500","$832,500",$0,"$425,000"
Radek Faksa,DAL,22,"C, LW",Left,DAL,Entry-Level,18,,3,RFA,2017,"$863,333","$1,338,333","$832,500","$832,500",$0,"$637,500"
Derrick Pouliot,DAL,22,LD,Left,PIT,Entry-Level,18,,3,RFA,2017,"$863,333","$1,288,333","$832,500","$832,500",$0,"$425,000"
Matt Grzelcyk,BOS,22,LD,Left,BOS,Entry-Level,22,,2,RFA,2018,"$858,750","$925,000","$792,500","$700,000","$92,500","$132,500"
Danny O'Regan,-,22,"C, LW",Right,SJS,Entry-Level,22,,2,RFA,2018,"$858,750","$925,000","$792,500","$700,000","$92,500","$132,500"
Andrew Poturalski,SEA,22,C,Right,CAR,Entry-Level,22,,2,RFA,2018,"$858,750","$925,000","$792,500","$700,000","$92,500","$132,500"
Kyle Rau,-,23,"LW, C",Left,FLA,Entry-Level,22,,2,UFANo QO,2017,"$858,750","$925,000","$925,000","$832,500","$92,500",$0
Colton Parayko,STL,23,RD,Right,STL,Entry-Level,22,,2,RFA,2017,"$858,750","$925,000","$925,000","$832,500","$92,500",$0
Jérémy Roy,-,19,RD,Right,SJS,Entry-Level,18,,3,UFANo QO,2020,"$858,333","$894,167",$0,"-$92,500","$92,500",$0
Adam Pelech,NYI,21,LD,Left,NYI,Entry-Level,20,,3,RFA,2017,"$854,333","$925,000","$925,000","$832,500","$92,500",$0
Christian Fischer,DET,19,"RW, LW",Right,ARI,Entry-Level,18,,3,RFA,2020,"$852,500","$1,106,667",$0,"-$92,500","$92,500",$0
