PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage
Jonathan Toews,-,20,C,Left,CHI,Entry-Level,19,,3,RFA,2010,"$850,000","$2,800,000","$850,000","$850,000",$0,"$1,950,000",2009,0.020833333333333332
James Sheppard,-,20,C,Left,MIN,Entry-Level,19,,3,RFA,2010,"$850,000","$1,400,000","$850,000","$850,000",$0,"$550,000",2009,0.020833333333333332
Benoit Pouliot,-,21,LW,Left,MIN,Entry-Level,20,,3,RFA,2009,"$850,000","$1,700,000","$850,000","$765,000","$85,000","$850,000",2009,0.020833333333333332
Vernon Fiddler,-,28,"C, LW",Left,NSH,Standard (1-way),27,,2,UFA,2009,"$850,000","$850,000","$900,000","$900,000",$0,$0,2009,0.020833333333333332
Ben Bishop,-,21,G,Left,STL,Entry-Level,21,,3,RFA,2011,"$850,000","$893,333","$850,000","$765,000","$85,000","$110,000",2009,0.020833333333333332
Ondrej Pavelec,-,20,G,Left,ATL,Entry-Level,20,,3,RFA,2010,"$850,000","$1,433,333","$850,000","$850,000",$0,"$500,000",2009,0.020833333333333332
Michael Frolík,-,20,"LW, RW",Left,FLA,Entry-Level,20,,3,RFA,2011,"$850,000","$1,275,000","$850,000","$765,000","$85,000","$425,000",2009,0.020833333333333332
Bryan Little,ARI,20,"C, RW",Right,ATL,Entry-Level,20,,3,RFA,2010,"$850,000","$900,000","$850,000","$850,000",$0,$0,2009,0.020833333333333332
Phil Kessel,-,20,RW,Right,BOS,Entry-Level,18,,3,RFA,2009,"$850,000","$2,200,000","$850,000","$765,000","$85,000","$1,350,000",2009,0.020833333333333332
Andrew Cogliano,COL,21,LW,Left,EDM,Entry-Level,20,,3,RFA,2010,"$850,000","$1,133,333","$850,000","$850,000",$0,"$250,000",2009,0.020833333333333332
Zach Hamill,-,19,C,Right,BOS,Entry-Level,18,,3,RFA,2012,"$845,833","$1,345,833",$0,"-$87,500","$87,500",$0,2009,0.020731200980392158
Jonathon Blum,-,19,D,Right,NSH,Entry-Level,18,,3,RFA,2012,"$845,833","$970,833",$0,"-$87,500","$87,500",$0,2009,0.020731200980392158
Thomas Hickey,-,19,LD,Left,LAK,Entry-Level,18,,3,RFA,2012,"$845,833","$1,345,833",$0,"-$87,500","$87,500",$0,2009,0.020731200980392158
Logan Couture,SJS,19,C,Left,SJS,Entry-Level,18,,3,RFA,2012,"$845,833","$1,270,833",$0,"-$87,500","$87,500",$0,2009,0.020731200980392158
Jakub Voracek,ARI,18,"RW, LW",Left,CBJ,Entry-Level,18,,3,RFA,2011,"$845,833","$1,270,833","$875,000","$787,500","$87,500","$425,000",2009,0.020731200980392158
Dave Bolland,-,22,C,Right,CHI,Entry-Level,20,,3,RFA,2009,"$845,833","$845,833","$887,500","$687,500","$200,000",$0,2009,0.020731200980392158
Kyle Turris,-,18,"C, RW",Right,ARI,Entry-Level,17,,3,RFA,2011,"$845,833","$2,695,833","$875,000","$787,500","$87,500","$1,650,000",2009,0.020731200980392158
Alex Goligoski,MIN,22,LD/RD,Left,PIT,Entry-Level,22,,2,RFA,2009,"$845,300","$984,200","$895,300","$600,000","$295,300","$88,900",2009,0.02071813725490196
