PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage,Y_Salary_Cap
Travis Zajac,-,24,C,Right,NJD,Standard (1-way),24,,4,UFA,2013,"$3,887,500","$3,887,500","$2,750,000","$2,750,000",$0,$0,2009-10,0.0684419014084507,56800000
Sean Avery,-,29,C,Left,DAL,Standard (1-way),28,,4,UFA,2012,"$3,875,000","$3,875,000","$4,000,000","$4,000,000",$0,$0,2009-10,0.0682218309859155,56800000
Jaroslav Spacek,-,35,D,Left,MTL,35+ (1-way),35,,3,UFA,2012,"$3,833,333","$3,833,333","$3,833,333","$3,833,333",$0,$0,2009-10,0.06748825704225352,56800000
Paul Martin,-,28,LD,Left,NJD,Standard (1-way),26,,3,UFA,2010,"$3,833,333","$3,833,333","$4,500,000","$4,500,000",$0,$0,2009-10,0.06748825704225352,56800000
Pascal Leclaire,-,26,G,Left,CBJ,Standard (1-way),25,,3,UFA,2011,"$3,800,000","$3,800,000","$3,600,000","$3,600,000",$0,$0,2009-10,0.06690140845070422,56800000
Tuomo Ruutu,-,26,"LW, RW",Left,CAR,Standard (1-way),26,,3,UFA,2012,"$3,800,000","$3,800,000","$3,000,000","$3,000,000",$0,$0,2009-10,0.06690140845070422,56800000
Francois Beauchemin,-,29,LD,Left,TOR,Standard (1-way),29,M-NTC,3,UFA,2012,"$3,800,000","$3,800,000","$4,200,000","$4,200,000",$0,$0,2009-10,0.06690140845070422,56800000
Nikolai Khabibulin,-,36,G,Left,EDM,35+ (1-way),36,,4,UFA,2013,"$3,750,000","$3,750,000","$3,750,000","$3,750,000",$0,$0,2009-10,0.06602112676056338,56800000
Steve Sullivan,-,34,LW,Right,NSH,Standard (1-way),34,NMC,2,UFA,2011,"$3,750,000","$3,750,000","$3,750,000","$3,750,000",$0,$0,2009-10,0.06602112676056338,56800000
David Krejci,-,23,C,Right,BOS,Standard (1-way),23,,3,RFA,2012,"$3,750,000","$3,750,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.06602112676056338,56800000
Brad Stuart,-,29,RD,Left,DET,Standard (1-way),28,NTC,4,UFA,2012,"$3,750,000","$3,750,000","$3,750,000","$3,750,000",$0,$0,2009-10,0.06602112676056338,56800000
R.J. Umberger,-,27,C,Left,CBJ,Standard (1-way),26,,4,UFA,2012,"$3,750,000","$3,750,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.06602112676056338,56800000
Kevin Bieksa,-,28,RD,Right,VAN,Standard (1-way),26,,3,UFA,2011,"$3,750,000","$3,750,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.06602112676056338,56800000
Brooks Orpik,-,28,LD,Left,PIT,Standard (1-way),28,M-NTC,6,UFA,2014,"$3,750,000","$3,750,000","$3,750,000","$3,750,000",$0,$0,2009-10,0.06602112676056338,56800000
